ticker,name,type,sector,valuation_sector,data_tier,price,intrinsic,mos,verdict,confidence,composite,reliable,roe,pe,pb,implied_pe,analyst_upside,abstain_cause,red_flags,alt_model
OLECTRA,Olectra Greentech Ltd.,nonfinancial,Automobile and Auto Components,AUTO,full,1349.1,350.87080723235607,-0.7399223132218841,AVOID,high,40.907256985798355,True,0.14624708776617412,62.371358547318,9.121629547565128,16.2,,,priced_for_collapse_avoid,False
BHARATFORG,Bharat Forge Ltd.,nonfinancial,Automobile and Auto Components,AUTO,full,2178.9,566.6236012707419,-0.7399496988063969,AVOID,high,34.432097420688166,True,0.11470650866820321,96.5055584373038,11.06981567541838,25.1,-0.14314562393868469,,priced_for_collapse_avoid,False
PSB,Punjab & Sind Bank,financial,Regional Banks,BANK,full,24.67,6.293845052371141,-0.7448785953639587,AVOID,medium,28.672443805621,True,0.09353889393245739,13.263533167414312,1.2406562221163977,3.4,,,priced_for_collapse_avoid|implied_pe_lt_third_sector_exit,False
NATIONALUM,National Aluminium Co. Ltd.,nonfinancial,Metals & Mining,METAL,full,338.25,86.21074031651553,-0.7451271535358004,AVOID,high,46.508563464840044,True,0.04841785628321206,59.3910086042065,2.875585319113481,15.1,0.17664449371766444,,priced_for_collapse_avoid,False
ROSSTECH,Rossell Techsys,nonfinancial,Electronic Instr. & Controls,MANUFACTURING,full,986.35,246.08040538267852,-0.7505141122495275,AVOID,medium,28.877152491537625,True,0.14135348056308925,169.8738921882138,24.012265917602996,42.4,,,priced_for_collapse_avoid,False
JAIBALAJI,Jai Balaji Industries,nonfinancial,Iron & Steel,METAL,full,64.4,16.012592189220868,-0.7513572641425331,AVOID,medium,28.843265433592144,True,0.05756214674250075,45.35008849557523,2.6104484487676967,11.3,,,priced_for_collapse_avoid,False
MUTHOOTMF,Muthoot Microfin,financial,Consumer Financial Services,NBFC,full,238.96,59.07872626407422,-0.7527672988614236,AVOID,medium,28.535871415191494,True,0.05965364659059458,23.54935572913608,1.4048049441020773,5.8,-0.10026782725142286,,priced_for_collapse_avoid|implied_pe_lt_third_sector_exit,False
AETHER,Aether Industries,nonfinancial,Chemical Manufacturing,CHEMICALS,full,1467.2,362.4037863618897,-0.752996328815506,AVOID,medium,35.84671595701443,True,0.08936067983500891,88.78345028706826,7.933749475750136,21.9,-0.2925299890948746,,priced_for_collapse_avoid,False
OMNI,Omnitech Engineering Ltd,nonfinancial,Construction Services,CONSTRUCTION,full,572.75,141.17499458220001,-0.7535137589136621,AVOID,medium,34.6942408712006,True,0.11687165303360206,76.85693605236656,8.982397163537927,18.9,,,priced_for_collapse_avoid,False
CREDITACC,CreditAccess Grameen Ltd.,financial,Financial Services,NBFC,full,1470.5,360.23491079152444,-0.7550255621954951,AVOID,high,33.990016874505145,True,0.09916031751091842,30.35019417725426,3.00953489113456,7.4,0.1356681400884053,,priced_for_collapse_avoid,False
SANSERA,Sansera Engineering,nonfinancial,Auto & Truck Parts,AUTO,full,3225.0,786.5793709201259,-0.7560994198697283,AVOID,medium,32.46841819186745,True,0.10587004473062835,62.159640212935194,6.580843889783214,15.2,-0.48589147286821704,,priced_for_collapse_avoid,False
SYRMA,Syrma SGS Technology Ltd.,nonfinancial,Capital Goods,CAPITAL_GOODS,full,1359.1,330.16938597610374,-0.7570676285953176,AVOID,high,39.31677447910872,True,0.12082007134397088,80.33314247708279,9.705856005366519,19.5,,,priced_for_collapse_avoid,False
RBLBANK,RBL Bank Ltd.,financial,Financial Services,BANK,full,366.8,88.6406818701417,-0.7583405619679888,AVOID,high,35.52736337880501,True,0.05256143179002453,26.033390592116493,1.3683522838705973,6.3,-0.04034896401308618,,priced_for_collapse_avoid,False
TATVA,Tatva Chintan Pharma Chem,nonfinancial,Chemical Manufacturing,CHEMICALS,full,1428.1,339.5921288296604,-0.7622070381418246,AVOID,medium,32.11299393954015,True,0.053788886614817844,79.4709631391201,4.274654625460499,18.9,-0.17232686786639587,,priced_for_collapse_avoid,False
AEROFLEX,Aeroflex Industries,nonfinancial,Constr. - Supplies & Fixtures,MANUFACTURING,full,403.1,95.38171441323017,-0.7633795226662611,AVOID,medium,38.811648669131145,True,0.12415319605607351,94.15103547631912,11.68915196637378,22.3,-0.4170181096502109,,priced_for_collapse_avoid,False
